Hybridization REF	TCGA-19-5960-01A-11H-1701-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-135a	6.96650105864203
hsa-miR-135b	5.952406354873
hsa-miR-136	7.38687507172802
hsa-miR-137	7.47150357467782
hsa-miR-138	6.50888408635753
hsa-miR-139	7.91791209606656
hsa-miR-140	8.52556502244364
hsa-miR-141	5.94472220292447
hsa-miR-142-3p	8.34107795420831
hsa-miR-142-5p	7.1089272688322
hsa-miR-143	8.50493492275646
hsa-miR-144	6.26577225851695
hsa-miR-145	9.050694700555
hsa-miR-146a	6.81175515303746
hsa-miR-146b	8.90253416695503
hsa-miR-147	5.73676337991553
hsa-miR-148a	9.21376612247609
hsa-miR-148b	7.77716152870094
hsa-miR-149	9.45457679604591
hsa-miR-150	6.07738814469663
hsa-miR-151	8.23388040696685
hsa-miR-152	6.96718285660105
hsa-miR-153	6.10530509460273
hsa-miR-154	6.01545707627036
hsa-miR-154*	6.1268689232489
hsa-miR-155	8.73775049448934
hsa-miR-15a	10.422135189731
hsa-miR-15b	11.654881991675
hsa-miR-16	12.2169335865389
hsa-miR-17-3p	9.76005955575447
hsa-miR-17-5p	10.6070934544927
hsa-miR-181a	10.4829074310277
hsa-miR-181a*	7.7680859712724
hsa-miR-181b	10.4203429411746
hsa-miR-181c	9.22501910526796
hsa-miR-181d	9.49546540927741
hsa-miR-182	9.7408186663851
hsa-miR-182*	6.25619241660972
hsa-miR-183	7.24750696106612
hsa-miR-184	6.38139096206701
hsa-miR-185	8.06010474658692
hsa-miR-186	8.0333429230329
hsa-miR-187	5.77572169046671
hsa-miR-188	8.08776309705305
hsa-miR-189	5.95618224694381
hsa-miR-18a	8.60388618310967
hsa-miR-18a*	6.15251541872959
hsa-miR-18b	6.42040913714099
hsa-miR-190	5.83747721284188
hsa-miR-191	8.29249465114736
hsa-miR-191*	5.85255422641636
hsa-miR-192	7.37848593736657
hsa-miR-193a	7.7052137805133
hsa-miR-193b	8.34813576476157
hsa-miR-194	6.67108368262782
hsa-miR-195	12.4874222744917
hsa-miR-196a	7.37698287510192
hsa-miR-196b	8.04288622562768
hsa-miR-197	9.70654397137392
hsa-miR-198	6.59242304076235
hsa-miR-199a	6.14553594577473
hsa-miR-199a*	6.50624048514735
hsa-miR-199b	5.81574731295625
hsa-miR-19a	10.5688987943399
hsa-miR-19b	12.1083177824171
hsa-miR-200a	6.22085504089812
hsa-miR-200a*	6.34504966668354
hsa-miR-200b	6.39061956139424
hsa-miR-200c	5.74386593170181
hsa-miR-202	8.46687516532146
hsa-miR-202*	5.65010094932185
hsa-miR-203	5.78128997434662
hsa-miR-204	8.24103576196415
hsa-miR-205	5.89123191104633
hsa-miR-206	6.56262265416063
hsa-miR-208	5.63936686913435
hsa-miR-20a	12.0271197464481
hsa-miR-20b	9.40738462835106
hsa-miR-21	11.7918415345995
hsa-miR-210	7.51551739175772
hsa-miR-211	6.04303696852969
hsa-miR-212	8.69762219042835
hsa-miR-214	6.46704484961876
hsa-miR-215	6.67150372035429
hsa-miR-216	5.71746086035145
hsa-miR-217	5.61181386225534
hsa-miR-218	7.59809256575205
hsa-miR-219	10.4201392077138
hsa-miR-22	10.4971592379674
hsa-miR-220	5.73851922995028
hsa-miR-221	7.69772452494403
hsa-miR-222	9.29639001995201
hsa-miR-223	8.16936875387263
hsa-miR-224	6.03894676871862
hsa-miR-23a	10.2670098016612
hsa-miR-23b	10.4442216700739
hsa-miR-24	11.1407703289682
hsa-miR-25	11.4757564830581
hsa-miR-26a	15.2015174148669
hsa-miR-26b	9.71566928881422
hsa-miR-27a	9.92480677834449
hsa-miR-27b	9.17157885146245
hsa-miR-28	7.84171508179559
hsa-miR-296	7.43124673334265
hsa-miR-299-3p	6.03544604495519
hsa-miR-299-5p	6.29312077482841
hsa-miR-29a	11.9565203537344
hsa-miR-29b	10.5126308147541
hsa-miR-29c	9.87833698167548
hsa-miR-301	8.76494178904887
hsa-miR-302a	5.76672836371142
hsa-miR-302a*	5.73601892710831
hsa-miR-302b	5.65476308256247
hsa-miR-302b*	5.73643938749165
hsa-miR-302c	5.68568599934478
hsa-miR-302c*	6.01374246453413
hsa-miR-302d	5.70701166092178
hsa-miR-30a-3p	7.09263366609273
hsa-miR-30a-5p	10.3399282667264
hsa-miR-30b	8.07974775129178
hsa-miR-30c	9.5363649349786
hsa-miR-30d	9.93943943698429
hsa-miR-30e-3p	7.60823905907529
hsa-miR-30e-5p	9.04538937926372
hsa-miR-31	6.46695084978808
hsa-miR-32	7.62711165674676
hsa-miR-320	11.211936397628
hsa-miR-323	6.23331060634083
hsa-miR-324-3p	9.83153412621089
hsa-miR-324-5p	8.68918231655269
hsa-miR-325	5.81455468959937
hsa-miR-326	6.08614632153589
hsa-miR-328	7.36761459666079
hsa-miR-329	6.04220258562426
hsa-miR-33	7.64685049677473
hsa-miR-330	6.87184569757746
hsa-miR-331	9.46143202204042
hsa-miR-335	6.44856588151117
hsa-miR-337	5.71412015292274
hsa-miR-338	8.97064358857738
hsa-miR-339	8.1934497535267
hsa-miR-33b	5.65959060966366
hsa-miR-340	6.65010040009492
hsa-miR-342	8.6509277202503
hsa-miR-345	6.7591238314488
hsa-miR-346	5.95738496913116
hsa-miR-34a	8.75484894723839
hsa-miR-34b	6.91973355198094
hsa-miR-34c	5.62738502893591
hsa-miR-361	9.05938259184551
hsa-miR-362	8.13833186039881
hsa-miR-363	8.85422799205568
hsa-miR-363*	5.70364854405555
hsa-miR-365	6.9810333987565
hsa-miR-367	5.8731404670311
hsa-miR-368	5.99021247098025
hsa-miR-369-3p	5.67044947030331
hsa-miR-369-5p	5.70265774980918
hsa-miR-370	8.20103194481858
hsa-miR-371	5.83824677119037
hsa-miR-372	5.71916610661894
hsa-miR-373	5.99326802912061
hsa-miR-373*	6.11891167530575
hsa-miR-374	9.11651730159022
hsa-miR-375	5.69788756133729
hsa-miR-376a	7.19374901871599
hsa-miR-376a*	5.72149307718142
hsa-miR-376b	5.5597103941096
hsa-miR-377	7.08665184303761
hsa-miR-378	5.66856716048894
hsa-miR-379	6.74640449437375
hsa-miR-380-3p	5.75613669312047
hsa-miR-380-5p	5.68024972337357
hsa-miR-381	6.42438683670013
hsa-miR-382	6.55407727511158
