Hybridization REF	TCGA-06-0649-01B-01T-0341-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-376a*	5.75388229388073
hsa-miR-376b	6.04542874710815
hsa-miR-377	6.6248672710052
hsa-miR-378	5.84118794716277
hsa-miR-379	6.51666926095011
hsa-miR-380-3p	5.81979932145873
hsa-miR-380-5p	5.73008256933336
hsa-miR-381	6.07804417676621
hsa-miR-382	6.41543824629294
hsa-miR-383	5.83804447022843
hsa-miR-384	5.70881738047196
hsa-miR-409-3p	6.82116250853277
hsa-miR-409-5p	5.95734430129056
hsa-miR-410	6.39724647265157
hsa-miR-411	6.0045754484578
hsa-miR-412	5.72693409575425
hsa-miR-421	6.79454882537445
hsa-miR-422a	6.11470613511595
hsa-miR-422b	6.93940154127497
hsa-miR-423	6.25878715024283
hsa-miR-424	7.89708357608015
hsa-miR-425-3p	6.06178116388555
hsa-miR-425-5p	8.31906671387627
hsa-miR-429	5.87115664314873
hsa-miR-431	6.04821440236479
hsa-miR-432	6.50763577884176
hsa-miR-432*	5.7433527041051
hsa-miR-433	5.87594351967127
hsa-miR-448	5.71678591278238
hsa-miR-449	6.61200176583629
hsa-miR-449b	5.93686875463422
hsa-miR-450	5.87775093440041
hsa-miR-451	10.2131506619316
hsa-miR-452	7.30849376151459
hsa-miR-452*	6.10753469200512
hsa-miR-453	5.83159399178209
hsa-miR-454-3p	6.42538402955773
hsa-miR-454-5p	5.82911376775606
hsa-miR-455	6.35761304310397
hsa-miR-483	5.9385758141595
hsa-miR-484	7.43309571722763
hsa-miR-485-3p	6.14635236186129
hsa-miR-485-5p	5.92954709919676
hsa-miR-486	8.60395100817214
hsa-miR-487a	6.65543614473816
hsa-miR-487b	8.27198394771825
hsa-miR-488	6.02710595378614
hsa-miR-489	6.13620383162572
hsa-miR-490	5.90159239005403
hsa-miR-491	6.607008150815
hsa-miR-492	5.9890664237982
hsa-miR-493-3p	6.34683153903096
hsa-miR-493-5p	5.99240155088812
hsa-miR-494	9.00274524783794
hsa-miR-495	6.15080391182712
hsa-miR-496	5.70392536740425
hsa-miR-497	8.28532313428248
hsa-miR-498	6.4126787266234
hsa-miR-499	5.84595273791624
hsa-miR-500	6.58829773783561
hsa-miR-501	6.43865819738735
hsa-miR-502	6.11957826182554
hsa-miR-503	6.09395876338681
hsa-miR-504	6.07439595091642
hsa-miR-505	5.97875333976785
hsa-miR-506	5.92172507908748
hsa-miR-507	5.79072664473937
hsa-miR-508	5.94829551656218
hsa-miR-509	7.01721159415793
hsa-miR-510	5.95100347764421
hsa-miR-511	5.7365578052457
hsa-miR-512-3p	6.02427467307539
hsa-miR-512-5p	5.77818781931788
