Hybridization REF	TCGA-28-1747-01C-01T-0792-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-532	7.3576149040956
hsa-miR-539	5.80166809674256
hsa-miR-542-3p	6.28874437550362
hsa-miR-542-5p	6.61657304358575
hsa-miR-544	5.78986171391398
hsa-miR-545	5.89609078075243
hsa-miR-548a	5.75032684076306
hsa-miR-548b	5.77373752221112
hsa-miR-548c	5.82565937047591
hsa-miR-548d	5.80725154270852
hsa-miR-549	5.77862492778327
hsa-miR-550	6.58370893152653
hsa-miR-551a	5.82068473006309
hsa-miR-551b	7.81515158914795
hsa-miR-552	5.79525635694897
hsa-miR-553	5.75143452750361
hsa-miR-554	5.7396693894998
hsa-miR-555	5.72057467521435
hsa-miR-556	5.76885984618578
hsa-miR-557	7.13729526119562
hsa-miR-558	5.77705301695914
hsa-miR-559	5.73391073939342
hsa-miR-560	6.72115332268112
hsa-miR-561	5.7645113761906
hsa-miR-562	6.41383638653014
hsa-miR-563	5.81269405804882
hsa-miR-564	7.45836747539213
hsa-miR-565	8.14354506849795
hsa-miR-566	5.96548364472607
hsa-miR-567	5.91404278352589
hsa-miR-568	5.77156708946216
hsa-miR-569	5.78197955079771
hsa-miR-570	5.75122941613246
hsa-miR-571	5.88639416872851
hsa-miR-572	6.74090868191014
hsa-miR-573	5.75360497340072
hsa-miR-574	7.68986931997996
hsa-miR-575	7.7971115495155
hsa-miR-576	5.7957680255263
hsa-miR-577	5.82452723595884
hsa-miR-578	5.80978977466446
hsa-miR-579	5.83087430485667
hsa-miR-580	5.74687443258055
hsa-miR-581	5.7890926501551
hsa-miR-582	5.81351684467799
hsa-miR-583	5.96095090224118
hsa-miR-584	6.5950376689014
hsa-miR-585	5.80756420092557
hsa-miR-586	5.7641323484556
hsa-miR-587	5.7207506692565
hsa-miR-588	5.75986245392022
hsa-miR-589	5.76159764448437
hsa-miR-590	7.10222755502772
hsa-miR-591	5.78153573245963
hsa-miR-592	5.8828367691463
hsa-miR-593	5.73255094381236
hsa-miR-595	6.12577884207338
hsa-miR-596	5.7815520389666
hsa-miR-597	5.8198990547219
hsa-miR-598	6.70944052670028
hsa-miR-599	5.76188177977561
hsa-miR-600	5.7287523658545
hsa-miR-601	7.60854474241668
hsa-miR-602	6.65773730135887
hsa-miR-603	5.80993971908487
hsa-miR-604	5.85238062695433
hsa-miR-605	6.95214523770124
hsa-miR-606	5.7719365346767
hsa-miR-607	5.75688118307615
hsa-miR-608	5.7592431259989
hsa-miR-609	5.86341674023796
hsa-miR-610	7.39670939956277
hsa-miR-611	5.98276785536053
hsa-miR-612	5.77317910025758
hsa-miR-613	5.83581320663045
hsa-miR-614	5.94098719588155
hsa-miR-615	6.3749679721632
hsa-miR-616	5.74844851775546
hsa-miR-617	5.95714340137487
hsa-miR-618	5.8018814934771
hsa-miR-619	5.79323820251966
hsa-miR-620	5.77463053054782
hsa-miR-621	5.76977132544945
hsa-miR-622	6.52827921340534
hsa-miR-623	6.5609157445044
hsa-miR-624	5.86171340186061
hsa-miR-625	6.92162562982214
hsa-miR-626	5.76613148642123
hsa-miR-627	5.90217906700727
hsa-miR-628	6.51819356000662
hsa-miR-629	6.78651989419821
hsa-miR-630	7.40392929263958
hsa-miR-631	6.13634526232172
hsa-miR-632	5.8781946635186
hsa-miR-633	5.7297512488137
hsa-miR-634	6.03077227027362
hsa-miR-635	5.8211193960668
hsa-miR-636	6.34846136155343
hsa-miR-637	5.82985747035382
hsa-miR-638	9.39150335574763
hsa-miR-639	5.7800819712701
hsa-miR-640	5.98773023787041
hsa-miR-641	5.83145682139443
hsa-miR-642	5.73095917972326
hsa-miR-643	5.75840489329284
hsa-miR-644	5.76923411471449
hsa-miR-645	5.84469104279926
hsa-miR-646	5.75894669043312
hsa-miR-647	5.82720638246821
hsa-miR-648	6.19994691043152
hsa-miR-649	5.76450408003177
hsa-miR-650	7.87206630478885
hsa-miR-651	5.7863786899767
hsa-miR-652	9.1315678587569
hsa-miR-653	5.79235179974229
hsa-miR-654	5.86207970360413
hsa-miR-655	5.85500391175973
hsa-miR-656	5.78108812256779
hsa-miR-657	5.74461455040057
hsa-miR-658	5.86090566904269
hsa-miR-659	6.13431265835501
hsa-miR-660	7.07693749607754
hsa-miR-661	5.7796594736706
hsa-miR-662	6.34498339067231
hsa-miR-663	7.87864109342588
hsa-miR-668	5.88207679700604
